dateFinal,timeFinal,Temperature,Humidity,CO2,TVOC,PM1
04/12/2022,19:40:25,34.09,61.97,523,18,18
04/12/2022,19:40:31,34.09,61.86,476,11,19
04/12/2022,19:40:36,34.09,61.78,476,11,19
04/12/2022,19:40:42,34.09,61.66,476,11,18
04/12/2022,19:40:48,34.09,61.61,480,12,18
04/12/2022,19:40:53,34.1,61.56,480,12,18
04/12/2022,19:40:59,34.11,61.5,485,12,18
04/12/2022,19:41:04,34.11,61.44,485,12,18
04/12/2022,19:41:10,34.11,61.4,488,13,18
04/12/2022,19:41:15,34.08,61.35,488,13,18
04/12/2022,19:41:20,34.09,61.29,506,16,18
04/12/2022,19:41:25,34.07,61.25,488,13,18
04/12/2022,19:41:31,34.08,61.25,500,15,18
04/12/2022,19:41:36,34.06,61.19,492,14,19
04/12/2022,19:41:42,34.08,61.18,491,13,18
04/12/2022,19:41:47,34.09,61.06,501,15,18
04/12/2022,19:41:53,34.09,61,498,14,17
04/12/2022,19:41:58,34.07,60.96,501,15,18
04/12/2022,19:42:03,34.08,60.89,501,15,18
04/12/2022,19:42:08,34.07,60.86,515,17,17
04/12/2022,19:42:13,34.07,60.81,505,15,17
04/12/2022,19:42:21,34.08,60.73,515,17,18
04/12/2022,19:42:26,34.08,60.67,515,17,18
04/12/2022,19:42:31,34.08,60.62,515,17,18
04/12/2022,19:42:36,34.09,60.57,505,15,17
04/12/2022,19:42:42,34.08,60.52,502,15,17
04/12/2022,19:42:47,34.09,60.44,508,16,17
04/12/2022,19:42:53,-45.95,-23.44,508,16,17
04/12/2022,19:42:58,34.08,60.32,543,21,17
04/12/2022,19:43:04,34.09,60.26,529,19,17
04/12/2022,19:43:11,34.07,60.2,524,18,17
04/12/2022,19:43:16,34.03,60.19,524,18,17
04/12/2022,19:43:21,34,60.19,529,19,17
04/12/2022,19:43:26,34.04,60.25,531,19,17
04/12/2022,19:43:32,34.02,60.24,529,19,17
04/12/2022,19:43:37,34.03,60.23,531,19,17
04/12/2022,19:43:42,34.05,60.23,537,20,17
04/12/2022,19:43:47,34.04,60.19,531,19,18
04/12/2022,19:43:52,34.04,60.15,553,23,18
04/12/2022,19:43:58,34.06,60.13,548,22,18
04/12/2022,19:44:03,34.04,60.1,596,29,18
04/12/2022,19:44:08,34.03,59.97,572,26,17
04/12/2022,19:44:13,34.05,59.86,553,23,17
04/12/2022,19:44:18,34.06,59.71,560,24,17
04/12/2022,19:44:24,34.08,59.66,543,21,17
04/12/2022,19:44:29,34.09,59.64,543,21,17
04/12/2022,19:44:34,34.08,59.6,564,24,17
04/12/2022,19:44:39,34.1,59.54,543,21,17
04/12/2022,19:44:45,34.12,59.53,546,22,17
04/12/2022,19:44:50,34.12,59.44,523,18,17
04/12/2022,19:44:55,34.11,59.31,523,18,17
04/12/2022,19:45:01,34.13,59.23,506,16,17
04/12/2022,19:45:06,34.17,59.19,506,16,17
04/12/2022,19:45:13,34.18,59.12,495,14,18
04/12/2022,19:45:18,34.18,59.08,506,16,18
04/12/2022,19:45:23,34.18,58.83,523,18,18
04/12/2022,19:45:28,34.18,58.39,546,22,18
04/12/2022,19:45:34,34.18,57.95,556,23,18
04/12/2022,19:45:39,34.19,57.68,552,23,18
